Year	Make	Model	Class	Type	Country	Value (Cr)	Rarity	Source	Source Info
1968	Abarth	595 Esseesse	D 100	Cult Cars	Italy	25,000	Common	Autoshow, Wheelspin	
2016	Abarth	695 Biposto	B 540	Hot Hatch	Italy	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1980	Abarth	Fiat 131	D 399	Classic Rally	Italy	125,000	Common	Autoshow, Wheelspin	
2023	Acura	Integra A-Spec	C 484	Hot Hatch	USA	36,000	Rare	Autoshow, Wheelspin	
2001	Acura	Integra Type R	C 471	Retro Hot Hatch	USA	65,000	Common	Autoshow, Wheelspin	
2022	Acura	NSX Type S	S1 734	Modern Supercars	USA	193,000	Epic	Seasonal	Not in Autoshow, from Mech My Day Wristband Event
2002	Acura	RSX Type S	C 462	Retro Hot Hatch	USA	18,000	Common	Autoshow, Wheelspin	
1992	Alfa Romeo	155 Q4	C 439	Retro Super Saloons	Italy	30,000	Epic	Autoshow	
1968	Alfa Romeo	33 Stradale	B 593	Classic Racers	Italy	3,500,000	Legendary	Autoshow, Wheelspin	
2014	Alfa Romeo	4C	A 644	Modern Sports Cars	Italy	73,000	Epic	Autoshow	
2007	Alfa Romeo	8C Competizione	A 635	GT Cars	Italy	312,000	Epic	Autoshow, Wheelspin	
2021	Alfa Romeo	Giulia GTAm	S1 717	Modern Super Saloons	Italy			Autoshow DLC	Italian Passion Car Pack
2017	Alfa Romeo	Giulia Quadrifoglio	A 667	Modern Super Saloons	Italy	45,000	Rare	Autoshow, Wheelspin	
1965	Alfa Romeo	Giulia Sprint GTA Stradale	D 379	Rare Classics	Italy	343,000	Rare	Autoshow, Wheelspin	
1965	Alfa Romeo	Giulia TZ2	B 532	Classic Racers	Italy			Collection Journal, Seasonal	Not in Autoshow
1990	Alfa Romeo	SE 048SP	R 978	Retro Racers	Italy			Autoshow DLC	Italian Passion Car Pack
2021	Alumicraft	#122 Class 1 Buggy	B 571	Unlimited Buggies	USA	160,000	Epic	Autoshow, Wheelspin	
2022	Alumicraft	#6165 Trick Truck	C 485	Unlimited Offroad	USA	300,000	Epic	Autoshow, Wheelspin	
2015	Alumicraft	Class 10 Race Car	B 532	Unlimited Buggies	USA	45,000	Epic	Autoshow, Wheelspin	
2554	AMG Transport Dynamics	M12S Warthog CST	A 663	Unlimited Offroad	USA	850,000	Legendary	Autoshow, Collection Journal	
2019	Apollo	Intensa Emozione	R 916	Extreme Track Toys	Germany			Wheelspin, Seasonal	Not in Autoshow
2013	Ariel	Atom 500 V8	S2 825	Extreme Track Toys	UK	190,000	Epic	Autoshow, Wheelspin	
2016	Ariel	Nomad	A 601	Unlimited Buggies	UK	54,000	Rare	Autoshow, Collection Journal, Wheelspin	
2017	Aston Martin	DB11	A 679	Super GT	UK	175,000	Epic	Autoshow, Wheelspin	
1964	Aston Martin	DB5	C 416	Rare Classics	UK	500,000	Epic	Autoshow	
2019	Aston Martin	DBS Superleggera	S1 736	Super GT	UK			Wheelspin, Seasonal	Not in Autoshow
2021	Aston Martin	DBX	A 618	Sports Utility Heroes	UK	250,000	Rare	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2019	Aston Martin	Valhalla Concept Car	R 960	Hypercars	UK			Wheelspin, Seasonal	Not in Autoshow
2023	Aston Martin	Valkyrie	R 924	Hypercars	UK	2,750,000	Legendary	Autoshow, Wheelspin	
2022	Aston Martin	Valkyrie AMR Pro	R 989	Extreme Track Toys	UK	4,200,000	Legendary	Autoshow, Collection Journal, Wheelspin	
2019	Aston Martin	Vantage	A 696	GT Cars	UK	250,000	Epic	Autoshow	
2016	Aston Martin	Vulcan	S2 884	Extreme Track Toys	UK	2,300,000	Legendary	Autoshow, Wheelspin, Loyalty	
2017	Aston Martin	Vulcan AMR Pro	S2 898	Extreme Track Toys	UK	3,000,000	Legendary	Autoshow, Wheelspin	
1986	Audi	#2 Audi Sport Quattro S1	S1 726	Rally Monsters	Germany	750,000	Legendary	Autoshow, Wheelspin	
2023	Audi	R8 Coupé V10 GT RWD	S1 769	Modern Supercars	Germany	250,000	Epic	Autoshow DLC	Car Pass 6/18/26
2013	Audi	R8 Coupé V10 Plus 5.2 FSI Quattro	A 694	Modern Supercars	Germany			Collection Journal, Seasonal	Not in Autoshow
2009	Audi	R8 LMS	S2 810	Extreme Track Toys	Germany	900,000	Rare	Autoshow, Wheelspin	
2020	Audi	R8 V10 Performance	S1 738	Modern Supercars	Germany	281,000	Rare	Autoshow, Wheelspin	
2016	Audi	R8 V10 Plus	S1 731	Modern Supercars	Germany	160,000	Epic	Autoshow, Wheelspin	
2020	Audi	RS 3 Sedan	A 617	Modern Super Saloons	Germany	52,000	Rare	Autoshow, Wheelspin	
2011	Audi	RS 3 Sportback	B 565	Super Hot Hatch	Germany	20,000	Common	Autoshow, Wheelspin	
2006	Audi	RS 4	B 593	Modern Super Saloons	Germany	75,000	Rare	Autoshow, Wheelspin	
2001	Audi	RS 4 Avant	B 544	Retro Super Saloons	Germany	175,000	Common	Autoshow, Wheelspin	
2013	Audi	RS 4 Avant	A 607	Modern Super Saloons	Germany	30,000	Rare	Autoshow, Wheelspin	
2018	Audi	RS 4 Avant	A 637	Modern Super Saloons	Germany	50,000	Rare	Autoshow, Wheelspin	
2011	Audi	RS 5 Coupé	A 613	Modern Super Saloons	Germany	25,000	Rare	Autoshow, Wheelspin	
2003	Audi	RS 6	B 556	Retro Super Saloons	Germany	35,000	Rare	Autoshow, Wheelspin	
2009	Audi	RS 6	B 598	Modern Super Saloons	Germany	42,000	Epic	Autoshow, Wheelspin	
2015	Audi	RS 6 Avant	A 640	Modern Super Saloons	Germany	60,000	Rare	Autoshow, Wheelspin	
2021	Audi	RS 6 Avant	A 650	Modern Super Saloons	Germany	83,000	Rare	Autoshow, Wheelspin	
2013	Audi	RS 7 Sportback	A 619	Modern Super Saloons	Germany	55,000	Epic	Autoshow, Wheelspin	
2021	Audi	RS 7 Sportback	A 655	Modern Super Saloons	Germany	80,000	Rare	Autoshow, Wheelspin	
2021	Audi	RS e-tron GT	A 677	Modern Super Saloons	Germany	95,000	Epic	Autoshow, Wheelspin	
2015	Audi	S1	B 527	Hot Hatch	Germany	21,000	Common	Autoshow, Wheelspin	
1984	Audi	Sport Quattro	B 526	Retro Rally	Germany			Wheelspin, Seasonal	Not in Autoshow
2010	Audi	TT RS Coupé	B 593	Modern Sports Cars	Germany	35,000	Rare	Autoshow, Wheelspin	
1965	Austin-Healey	3000 Mk III	D 352	Classic Sports Cars	UK	75,000	Common	Autoshow, Wheelspin	
1993	Autozam	AZ-1	D 342	Eclectic Domestics	Japan	38,000	Rare	Autoshow, Wheelspin	
2014	BAC	Mono	S1 766	Track Toys	UK	196,000	Epic	Autoshow, Wheelspin	
2016	Bentley	Bentayga	A 612	Sports Utility Heroes	UK			Wheelspin, Seasonal	Not in Autoshow
2021	Bentley	Continental GT Convertible	A 649	GT Cars	UK	170,000	Rare	Autoshow, Collection Journal, Wheelspin	
1973	BMW	2002 Turbo	C 424	Classic Sports Cars	Germany	127,000	Legendary	Autoshow, Wheelspin	
1995	BMW	850CSi	C 493	Retro Sports Cars	Germany	135,000	Rare	Autoshow, Wheelspin	
2015	BMW	i8	A 665	Modern Sports Cars	Germany	70,000	Rare	Autoshow, Wheelspin	
1957	BMW	Isetta 300 Export	D 100	Cult Cars	Germany	84,000	Common	Autoshow, Wheelspin	
2022	BMW	iX xDrive50	B 595	Sports Utility Heroes	Germany	37,000	Rare	Autoshow, Wheelspin	
1981	BMW	M1	B 510	Retro Supercars	Germany	600,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
2023	BMW	M2	A 647	Modern Super Saloons	Germany	67,000	Rare	Autoshow, Wheelspin	
2020	BMW	M2 Competition Coupé	A 656	Modern Super Saloons	Germany	250,000	Epic	Wheelspin, Seasonal	Not in Autoshow, from Horizon Invitational Wristband Event
2023	BMW	M2 Forza Edition	A 700	Track Toys	Germany			Collection Journal, Seasonal	Not in Autoshow
1988	BMW	M3	C 474	Retro Super Saloons	Germany	250,000	Rare	Autoshow, Wheelspin	
1997	BMW	M3	B 549	Retro Super Saloons	Germany	30,000	Common	Autoshow, Wheelspin	
2005	BMW	M3	B 554	Retro Super Saloons	Germany	35,000	Common	Autoshow, Wheelspin	
2008	BMW	M3	A 608	Modern Super Saloons	Germany	43,000	Common	Autoshow, Wheelspin	
2010	BMW	M3 GTS	A 678	Track Toys	Germany	198,000	Epic	Autoshow, Wheelspin	
2021	BMW	M4 Competition Coupé	A 666	Modern Super Saloons	Germany	64,000	Rare	Autoshow, Wheelspin	
2021	BMW	M4 Competition Coupé Welcome Pack	S1 800	Modern Super Saloons	Germany	150,000	Legendary	Autoshow DLC	Welcome Pack
2014	BMW	M4 Coupé	A 679	Modern Super Saloons	Germany	55,000	Rare	Autoshow, Wheelspin	
2016	BMW	M4 GTS	S1 711	Track Toys	Germany	125,000	Epic	Autoshow, Wheelspin	
1988	BMW	M5	C 470	Retro Super Saloons	Germany	70,000	Rare	Autoshow, Wheelspin	
1995	BMW	M5	B 516	Retro Super Saloons	Germany	48,000	Rare	Autoshow, Wheelspin	
2003	BMW	M5	B 580	Retro Super Saloons	Germany	47,000	Common	Autoshow, Wheelspin	
2009	BMW	M5	B 595	Modern Super Saloons	Germany	54,000	Rare	Autoshow, Wheelspin	
2012	BMW	M5	A 652	Modern Super Saloons	Germany	40,000	Rare	Autoshow, Wheelspin	
2022	BMW	M5 CS	S1 731	Modern Super Saloons	Germany	150,000	Rare	Autoshow, Wheelspin	
2020	BMW	M8 Competition Coupé	A 684	GT Cars	Germany	100,000	Rare	Autoshow, Wheelspin	
2011	BMW	X5 M	B 546	Sports Utility Heroes	Germany	24,000	Common	Autoshow, Wheelspin	
2024	BMW	X6 M Competition	A 672	Sports Utility Heroes	Germany	140,000	Epic	Autoshow, Wheelspin	
2008	BMW	Z4 M Coupé	B 579	Modern Sports Cars	Germany	63,000	Rare	Autoshow, Wheelspin	
2019	BMW	Z4 Roadster	A 634	Modern Sports Cars	Germany	38,000	Common	Autoshow, Collection Journal, Wheelspin	
1987	Buick	Regal GNX	C 454	Retro Muscle	USA	255,000	Epic	Autoshow	
2016	Cadillac	ATS-V	A 601	Modern Muscle	USA	41,000	Common	Autoshow, Wheelspin	
2022	Cadillac	CT4-V Blackwing	A 650	Modern Muscle	USA	55,000	Rare	Autoshow, Wheelspin	
2022	Cadillac	CT5-V Blackwing	S1 701	Modern Muscle	USA	90,000	Rare	Autoshow, Wheelspin	
2016	Cadillac	CTS-V Sedan	A 648	Modern Muscle	USA	60,000	Common	Autoshow, Wheelspin	
2013	Cadillac	XTS Limousine	D 381	Modern Super Saloons	USA	44,000	Rare	Autoshow, Wheelspin	
2018	Can-Am	Maverick X RS Turbo R	B 568	UTVs	Canada	16,000	Common	Autoshow, Wheelspin	
2019	Casey Currie Motorsports	#4402 Ultra 4 'Trophy Jeep'	A 641	Unlimited Offroad	USA			Wheelspin, Seasonal	Not in Autoshow
1955	Chevrolet	150 Utility Sedan	D 221	Rods and Customs	USA	140,000	Common	Autoshow, Wheelspin	
1957	Chevrolet	Bel Air	D 320	Rods and Customs	USA	69,000	Rare	Autoshow, Wheelspin	
1969	Chevrolet	Camaro Super Sport Coupe	C 471	Classic Muscle	USA	75,000	Rare	Autoshow, Wheelspin	
2015	Chevrolet	Camaro Z/28	A 695	Track Toys	USA	65,000	Rare	Autoshow, Wheelspin	
1970	Chevrolet	Camaro Z28	C 430	Classic Muscle	USA	55,000	Rare	Autoshow, Wheelspin	
1979	Chevrolet	Camaro Z28	D 364	Classic Muscle	USA	20,000	Rare	Autoshow, Wheelspin	
2017	Chevrolet	Camaro ZL1	S1 727	Modern Muscle	USA	55,000	Rare	Autoshow, Wheelspin	
2018	Chevrolet	Camaro ZL1 1LE	S1 728	Track Toys	USA	70,000	Rare	Autoshow, Wheelspin	
1970	Chevrolet	Chevelle Super Sport 454	C 424	Classic Muscle	USA	90,000	Rare	Autoshow, Wheelspin	
1953	Chevrolet	Corvette	D 270	Classic Sports Cars	USA	269,000	Legendary	Autoshow, Wheelspin	
1960	Chevrolet	Corvette	C 428	Classic Sports Cars	USA			Wheelspin, Seasonal	Not in Autoshow
2024	Chevrolet	Corvette E-Ray	S1 737	Modern Supercars	USA	114,000	Epic	Autoshow, Wheelspin, Loyalty	
1967	Chevrolet	Corvette Stingray 427	B 510	Classic Muscle	USA			Collection Journal, Seasonal	Not in Autoshow
2020	Chevrolet	Corvette Stingray Coupe	A 700	Modern Supercars	USA	65,000	Rare	Autoshow, Wheelspin	
2002	Chevrolet	Corvette Z06	A 602	Retro Muscle	USA	33,000	Common	Autoshow, Wheelspin	
2015	Chevrolet	Corvette Z06	S1 755	Modern Muscle	USA	100,000	Rare	Autoshow, Wheelspin	
2023	Chevrolet	Corvette Z06	S1 763	Track Toys	USA	155,000	Epic	Autoshow, Wheelspin	
1970	Chevrolet	Corvette ZR-1	C 497	Classic Muscle	USA	250,000	Epic	Autoshow, Wheelspin	
1995	Chevrolet	Corvette ZR-1	B 576	Retro Muscle	USA	76,000	Common	Autoshow, Wheelspin	
2009	Chevrolet	Corvette ZR1	S1 712	Modern Muscle	USA	125,000	Rare	Autoshow, Wheelspin	
2019	Chevrolet	Corvette ZR1	S1 778	Track Toys	USA			Wheelspin, Seasonal	Not in Autoshow
1970	Chevrolet	El Camino Super Sport 454	C 430	Utility Heroes	USA	36,000	Rare	Autoshow, Wheelspin	
1996	Chevrolet	Impala Super Sport	C 407	Retro Muscle	USA	30,000	Common	Autoshow, Wheelspin	
1964	Chevrolet	Impala Super Sport 409	C 427	Rods and Customs	USA	70,000	Common	Autoshow, Wheelspin	
1972	Chevrolet	K-10 Custom	D 268	Pickups & 4x4s	USA	49,000	Common	Autoshow, Wheelspin	
1988	Chevrolet	Monte Carlo Super Sport	D 282	Retro Muscle	USA	30,000	Common	Autoshow, Wheelspin	
1969	Chevrolet	Nova Super Sport 396	C 431	Classic Muscle	USA	40,000	Common	Autoshow, Wheelspin	
2020	Chevrolet	Silverado LT Trail Boss	C 449	Pickups & 4x4s	USA	43,000	Rare	Autoshow, Wheelspin	
1970	Datsun	510	D 143	Classic Sports Cars	Japan	86,000	Common	Autoshow, Wheelspin	
1972	Datsun	#269 Attacking the Clock Racing 240Z 'All Carbon Hill Climb Beast'	R 951	Extreme Track Toys	Japan	185,000	Epic	Autoshow DLC	Car Pass 6/4/26
1969	Datsun	2000 Roadster	D 323	Classic Sports Cars	Japan	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2018	DeBerti	Chevrolet Silverado 1500 Drift Truck	S1 707	Drift Cars	USA	250,000	Epic	Autoshow, Wheelspin	
2019	DeBerti	Ford Super Duty F-250 Lariat 'Transformer'	B 548	Unlimited Offroad	USA	275,000	Epic	Autoshow, Wheelspin	
